equipmentType,maintenanceCost,equipmentDemand,desired,variable
Treadmill,30.0,0.0,30.0,0.0
Stationary Bike,35.0,1.2850102292768966,35.0,1.2850102292768966
Rowing Machine,40.0,1.3338182824582827,40.0,1.3338182824582827
Elliptical Trainer,45.0,1.3195155284221953,45.0,1.3195155284221953
Leg Press Machine,50.0,0.0,50.0,0.0
Dumbbells (Set),15.0,0.9110183584316918,15.0,0.9110183584316918
Bench Press Machine,35.0,0.48920946411613087,35.0,0.48920946411613087
Pull-Up Bar,10.0,0.4444550481617149,10.0,0.4444550481617149
Boxing Bag,20.0,0.0,20.0,0.0
Yoga Mat,10.0,0.0,10.0,0.0
test,10.0,0.0,10.0,0.0
test equip,25.0,0.6515069868403203,25.0,0.6515069868403203
гантелі 3,20.0,0.4544539085605752,20.0,0.4544539085605752
"штанга ",30.0,0.5506202903269571,30.0,0.5506202903269571
